"","State","Account.Length","Area.Code","Phone","Int.l.Plan","VMail.Plan","VMail.Message","Day.Mins","Day.Calls","Day.Charge","Eve.Mins","Eve.Calls","Eve.Charge","Night.Mins","Night.Calls","Night.Charge","Intl.Mins","Intl.Calls","Intl.Charge","CustServ.Calls","Churn."
"1549","MD",102,415,"349-7362","no","no"," 0",271.1,80,"46.09",172,"133",14.62,169.2,105,7.61,10.3,5,"2.78",1,"False."
"1550","CT",107,408,"339-2734","no","no"," 0",103.4,94,"17.58",189.3,"125",16.09,227.2,125,10.22,14.4,3,"3.89",1,"False."
"1551","SC",106,408,"330-4914","no","no"," 0",52.2,106," 8.87",220.1,"113",18.71,112.3,95,5.05,11.4,2,"3.08",2,"False."
"1552","MI",225,415,"371-2500","no","no"," 0",165.4,106,"28.12",273.7,"109",23.26,210,93,9.45,8.7,3,"2.35",0,"True."
"1553","SD",75,408,"335-3681","no","no"," 0",147.5,110,"25.08",191.7," 97",16.29,135,68,6.08,16.4,3,"4.43",2,"False."
"1554","CO",86,415,"","no","no","",217.8,93,"37.03",214.7," 95",18.25,228.7,70,10.29,11.3,7,"3.05",0,"False."
"1555","ID",169,415,"399-9239","no","no","",235.7,79,"40.07",136.9," 85",11.64,220.9,97,9.94,13.3,10,"3.59",1,"False."
"1556","AZ",122,510,"350-7227","no","yes","22",204.5,92,"34.77",139.6,"",11.87,205,103,9.23,8.6,5,"2.32",2,"False."
"1557","FL",106,408,"384-6654","no","no"," 0",178.4,143,"30.33",247,"123",21,259.9,105,11.7,9.6,2,"2.59",0,"False."
"1558","MN",52,415,"376-4271","no","yes","",130.1,68,"22.12",247.2," 77",21.01,289.4,87,13.02,13.5,5,"3.65",2,"False."
"1560","MI",135,415,"393-2524","no","no"," 0",239.9,91,"40.78",177.1,"104",15.05,217.2,118,9.77,5.9,3,"1.59",2,"False."
"1561","MS",70,408,"384-4385","no","no"," 0",148.4,110,"",267.1," 90",22.7,151.5,101,6.82,8.9,4,"2.40",0,"False."
"1562","MA",80,408,"377-8266","","no","",148.6,106,"25.26",210.8," 65",17.92,203.7,86,9.17,10,2,"2.70",2,"False."
"1563","CA",37,415,"345-1243","no","no"," 0",191.1,69,"32.49",129.2,"113",10.98,207.5,117,9.34,12.9,1,"3.48",0,"False."
"1564","MN",161,415,"394-8086","no","yes","39",218.5,76,"",112.7," 94",9.58,205.1,121,9.23,7.3,4,"1.97",1,"False."
"1565","VT",137,510,"348-9145","no","no"," 0",97.5,95,"16.58",195.8," 82",16.64,288.8,78,13,0,0,"0.00",1,"False."
"1566","CT",123,415,"376-5201","no","no"," 0",128.7,126,"21.88",117.6," 94",10,198.4,132,8.93,10.8,5,"2.92",0,"False."
"1567","WV",80,415,"356-2093","no","yes","38",236.6,69,"40.22",197.5," 68",16.79,209.5,102,9.43,9.5,10,"2.57",2,"False."
"1568","WV",94,415,"353-2080","no","no"," 0",85.9,113,"14.60",226.7,"",19.27,279.6,110,12.58,15.6,16,"4.21",0,"False."
"1569","NE",105,415,"397-7500","no","yes","27",141.2,96,"24.00",167.7," 94",14.25,274.4,101,12.35,11.4,2,"3.08",1,"False."
"1571","NE",112,415,"388-4282","no","no"," 0",167.6,100,"28.49",154.5," 90",13.13,281.4,107,12.66,17.3,3,"4.67",2,"False."
"1572","IL",179,408,"415-5132","no","no"," 0",234.5,134,"39.87",164.2," 94",13.96,191.4,72,8.61,6.1,4,"1.65",1,"False."
"1573","MA",57,510,"352-4541","no","no"," 0",154.2,78,"26.21",196.7," 85",16.72,253.5,97,11.41,10.1,9,"2.73",1,"False."
"1574","AZ",127,415,"373-5928","no","yes","14",143.2,99,"24.34",169.9," 91",14.44,221.6,77,9.97,11.6,1,"3.13",1,"False."
"1575","SD",122,415,"406-7737","yes","yes","40",216.4,80,"36.79",249.7," 90",21.22,185.9,99,8.37,12.7,4,"3.43",1,"False."
"1576","MT",33,510,"","no","yes","35",161.9,85,"27.52",151.2," 82",12.85,191,131,8.59,8.5,2,"2.30",1,"False."
"1577","VT",94,408,"359-7788","no","no"," 0",118.7,90,"20.18",205.1,"",17.43,172.2,100,7.75,10.4,6,"2.81",3,"False."
"1578","UT",100,408,"384-1549","no","no"," 0",179.1,123,"30.45",196.6,"132",16.71,186.7,116,8.4,10.2,10,"2.75",1,"False."
"1579","HI",106,415,"352-8508","no","no"," 0",147.9,97,"25.14",209.3,"",17.79,162.1,80,7.29,8.8,5,"2.38",2,"False."
"1580","DC",148,415,"404-1002","no","yes","38",209.2,110,"35.56",116.6,"",9.91,109.6,105,4.93,16.5,4,"4.46",2,"False."
"1581","WI",120,415,"414-2905","no","yes","29",244.3,140,"41.53",322.3," 89",27.4,166.8,83,7.51,10.6,6,"2.86",0,"False."
"1582","UT",91,415,"380-9849","no","yes","34",175.3,96,"29.80",262.3,"122",22.3,143.9,76,6.48,5.6,11,"1.51",1,"False."
"1583","WA",86,510,"","no","no"," 0",150.5,92,"25.59",120.3," 95",10.23,271.2,96,12.2,9,2,"2.43",1,"False."
"1584","SD",78,415,"360-6024","no","yes","25",197.4,73,"33.56",295.7,"113",25.13,211.7,73,9.53,13.2,2,"3.56",0,"False."
"1585","MT",94,510,"352-5815","no","no"," 0",163.5,136,"27.80",143.7,"111",12.21,253.4,82,11.4,12.6,5,"3.40",1,"False."
"1586","NJ",85,415,"366-2273","no","no"," 0",236.9,93,"40.27",197.7,"113",16.8,309.1,78,13.91,11.4,7,"3.08",2,"True."
"1587","CT",89,415,"","no","no"," 0",82.3,77,"13.99",167.2," 80",14.21,194.7,70,8.76,7.2,4,"1.94",1,"False."
"1588","VA",128,415,"409-8796","no","no"," 0",216,111,"36.72",153.7,"115",13.06,227,74,10.22,12.7,4,"3.43",1,"False."
"1590","AK",76,415,"404-1931","no","no"," 0",143.7,55,"24.43",173.1,"108",14.71,239.1,95,10.76,5.8,6,"1.57",1,"False."
"1591","MD",75,415,"367-9765","","yes","39",198.2,107,"",280.4,"132",23.83,129.6,73,5.83,11.3,7,"3.05",1,"False."
"1592","IL",90,415,"378-7299","no","yes","29",185.6,106,"31.55",219.7,"113",18.67,152.1,120,6.84,11.1,5,"3.00",2,"False."
"1593","CT",30,408,"410-5192","no","no","",137.6,108,"23.39",162," 80",13.77,187.7,126,8.45,5.8,10,"1.57",3,"False."
"1594","KS",105,415,"","yes","no"," 0",273.9,119,"46.56",278.6,"",23.68,255.3,90,11.49,10.9,7,"2.94",1,"True."
"1595","MA",102,415,"392-1734","no","yes","31",125.3,92,"21.30",141.2,"108",12,168.2,68,7.57,6.3,2,"",3,"False."
"1596","NJ",83,415,"395-6030","no","no"," 0",178.8,102,"30.40",167.9," 84",14.27,178.9,65,8.05,8.6,4,"2.32",3,"False."
"1597","AR",63,510,"330-5168","no","yes","49",214.9,86,"36.53",198.2," 89",16.85,170.8,139,7.69,8.2,5,"2.21",0,"False."
"1598","MS",155,408,"334-3142","no","no"," 0",163,93,"27.71",203.9,"102",17.33,159,109,7.15,15.1,4,"4.08",2,"False."
"1599","ND",82,415,"362-9983","no","yes","",163.8,77,"27.85",134.9,"112",11.47,79.3,95,3.57,8.8,2,"2.38",2,"False."
"1600","IN",87,510,"","no","no"," 0",189.5,113,"32.22",204.9,"",17.42,221.7,93,9.98,13.4,3,"3.62",1,"False."
"1601","MI",115,415,"402-4501","","yes","26",155.2,110,"26.38",230.9,"133",19.63,261.6,100,11.77,4.5,4,"1.22",0,"False."
"1602","AR",99,510,"387-2604","yes","no"," 0",242.3,102,"41.19",350.9,"102",29.83,163.1,93,7.34,11.3,3,"3.05",0,"True."
"1603","VT",121,415,"400-3343","yes","yes","",254.1,127,"",180.2,"108",15.32,196.2,129,8.83,8.7,4,"2.35",3,"False."
"1604","WV",54,510,"353-2450","no","yes","",112,90,"19.04",208,"112",17.68,150.3,83,6.76,11.3,4,"3.05",2,"False."
"1605","ME",105,408,"406-2032","no","no"," 0",115.5,73,"19.64",267.3," 83",22.72,114.2,90,5.14,13.3,5,"3.59",3,"False."
"1606","IA",73,415,"409-4462","no","no"," 0",137.1,102,"23.31",210.8,"114",17.92,191.4,120,8.61,11.1,4,"3.00",1,"False."
"1607","CT",95,415,"392-5941","no","no"," 0",198.4,113,"33.73",235.9,"144",20.05,325.6,99,14.65,10.1,3,"2.73",0,"False."
"1609","OR",163,408,"346-3445","no","yes","25",219.6,99,"37.33",210.4," 99",17.88,242.7,88,10.92,13.8,8,"3.73",2,"False."
"1610","VT",57,415,"368-9507","no","no"," 0",169.6,96,"28.83",234.7,"112",19.95,285.4,83,12.84,11.2,4,"3.02",0,"False."
"1611","RI",104,408,"","yes","no"," 0",160.4,73,"27.27",293.9,"103",24.98,306.6,90,13.8,12.6,5,"3.40",4,"False."
"1612","RI",83,415,"334-5844","no","yes","20",95,89,"16.15",167.9," 92",14.27,200.6,79,9.03,11.2,2,"3.02",0,"False."
"1613","NM",141,415,"362-9411","no","no"," 0",160.1,87,"27.22",256.7,"120",21.82,270,107,12.15,7,1,"1.89",2,"False."
"1614","AL",95,415,"390-3565","no","no"," 0",194.6,114,"",232.8,"106",19.79,173.4,92,7.8,3.8,2,"1.03",3,"False."
"1615","MT",184,415,"417-4810","no","no","",236.4,73,"",287.3,"120",24.42,192,94,8.64,13.8,4,"3.73",1,"True."
"1616","CT",74,408,"384-3389","no","no"," 0",157.1,95,"26.71",213.1," 36",18.11,280.4,77,12.62,7.6,3,"2.05",2,"False."
"1618","ID",104,415,"357-1700","yes","no"," 0",148.2,108,"25.19",161.8,"113",13.75,259.3,103,11.67,11,4,"2.97",0,"False."
"1619","TX",71,415,"376-7207","no","yes","39",183.2,103,"31.14",209.4,"111",17.8,172.4,109,7.76,11.9,6,"",1,"False."
"1620","NH",149,415,"368-7706","","no"," 0",119.2,88,"",168.3,"110",14.31,204.7,119,9.21,12.2,6,"3.29",4,"True."
"1621","ND",154,408,"","no","yes","35",224,102,"38.08",192," 99",16.32,163.1,100,7.34,9.6,2,"",0,"False."
"1622","SC",138,510,"370-9533","no","yes","21",19.5,149," 3.32",140.9,"109",11.98,179.7,111,8.09,7.9,1,"2.13",0,"False."
"1623","KS",117,415,"372-1493","","no"," 0",184.8,83,"31.42",248.6,"",21.13,133.1,113,5.99,9.6,8,"2.59",1,"False."
"1624","ME",130,408,"","no","no"," 0",176.3,140,"29.97",201,"104",17.09,161.9,123,7.29,11.3,5,"3.05",1,"False."
"1625","RI",73,415,"","no","no","",241.7,115,"41.09",168.5,"133",14.32,169.8,122,7.64,11.1,2,"3.00",2,"False."
"1626","WI",100,510,"369-3756","","yes","",224.7,121,"",294,"131",24.99,290,61,13.05,9.8,6,"2.65",0,"False."
"1627","NC",149,510,"363-1719","no","no"," 0",207.3,115,"35.24",198.4," 82",16.86,114.1,83,5.13,8.6,4,"2.32",1,"False."
"1628","OH",29,408,"402-6666","no","no"," 0",196.8,81,"33.46",168,"110",14.28,132.6,98,5.97,12.7,7,"3.43",2,"False."
"1629","WY",131,510,"408-9779","no","no"," 0",110.9,74,"18.85",115.6," 90",9.83,190.5,114,8.57,15.8,9,"4.27",1,"False."
"1631","ND",84,510,"384-5027","no","no"," 0",226.9,144,"38.57",201.6,"",17.14,130.2,121,5.86,13.2,5,"3.56",2,"False."
"1632","WI",133,510,"380-3161","no","no","",187,65,"31.79",141.4,"128",12.02,238.2,108,10.72,10,8,"2.70",2,"False."
"1633","KY",112,415,"","","no","",170.5,113,"28.99",193.2,"129",16.42,188,91,8.46,11.2,6,"3.02",0,"False."
"1634","NY",87,415,"399-5426","no","no"," 0",204.8,101,"34.82",161," 80",13.69,285.7,89,12.86,9.5,3,"2.57",0,"False."
"1635","MO",72,415,"","no","no"," 0",165.9,114,"28.20",235.9,"",20.05,210.1,120,9.45,12,5,"3.24",2,"False."
"1636","AZ",66,510,"337-8618","no","no"," 0",154,133,"26.18",198.9,"121",16.91,151.9,100,6.84,9.5,3,"2.57",4,"True."
"1638","CO",74,415,"394-6278","no","no"," 0",225.2,93,"38.28",215.1,"",18.28,241.8,95,10.88,9.1,2,"2.46",2,"False."
"1639","MD",116,408,"405-2276","no","no"," 0",159.4,79,"27.10",179.5," 88",15.26,167.8,71,7.55,9.7,2,"2.62",6,"True."
"1640","AR",68,510,"376-1000","no","no"," 0",172.7,95,"29.36",139.1," 90",11.82,174.3,99,7.84,11.7,1,"3.16",2,"False."
"1641","TN",68,415,"397-1659","no","no"," 0",222.8,99,"",175.8,"",14.94,202,111,9.09,11,3,"2.97",3,"False."
"1642","DE",54,415,"379-3953","yes","no"," 0",214.1,77,"36.40",240.5," 94",20.44,188.9,75,8.5,10.1,3,"",1,"False."
"1643","TN",99,408,"418-6512","","no","",54.8,92," 9.32",173,"103",14.71,195.1,125,8.78,7.5,3,"2.03",1,"False."
"1644","WI",107,408,"392-5296","no","no"," 0",134,104,"22.78",174.5," 94",14.83,311.1,79,14,7.3,3,"1.97",3,"False."
"1645","WV",124,510,"355-3814","","no","",184.8,74,"31.42",175.1,"",14.88,158.2,95,7.12,10.5,6,"2.84",1,"False."
"1647","MN",173,510,"372-7990","no","no"," 0",291.8,143,"",214.3,"134",18.22,151.2,119,6.8,9.9,2,"2.67",0,"True."
"1648","MO",110,408,"","no","no"," 0",222.7,94,"37.86",105.8," 98",8.99,214.8,78,9.67,13.5,4,"3.65",1,"False."
"1649","VA",102,510,"398-5788","no","no"," 0",174.5,79,"29.67",236.8,"136",20.13,270.4,110,12.17,8.5,5,"2.30",0,"False."
"1650","NH",130,408,"390-4003","","no"," 0",68.4,86,"",193.3,"110",16.43,171.5,139,7.72,10.4,4,"2.81",0,"False."
"1651","OK",91,408,"","no","yes","31",273,78,"46.41",215.5," 98",18.32,104.7,114,4.71,9.6,2,"2.59",1,"False."
"1652","CT",64,415,"406-9926","yes","no"," 0",225.3,134,"38.30",108.2," 87",9.2,139.6,132,6.28,17.3,9,"4.67",1,"True."
"1653","TN",176,415,"418-2402","no","yes","23",283.2,130,"48.14",162.6," 74",13.82,177.7,104,8,7.2,6,"1.94",1,"False."
"1654","MD",93,510,"384-3299","","no"," 0",131.4,78,"22.34",219.7,"106",18.67,155.7,103,7.01,11.1,2,"3.00",1,"True."
"1655","WI",84,510,"378-9090","no","yes","",89.7,87,"",138.6," 73",11.78,165.8,114,7.46,10.7,2,"2.89",1,"False."
"1656","SD",138,510,"350-6473","no","no"," 0",127.1,102,"21.61",247.7,"106",21.05,207.7,75,9.35,5,3,"1.35",3,"False."
"1657","ND",101,415,"379-4583","","yes","28",105.9,132,"18.00",231.7,"",19.69,281.3,120,12.66,10.7,5,"2.89",1,"False."
"1658","VA",136,408,"411-5078","","no"," 0",142.3,79,"24.19",158,"113",13.43,177.5,75,7.99,6,11,"1.62",2,"False."
"1659","UT",111,510,"347-4982","no","no"," 0",191.3,80,"32.52",138.5,"",11.77,246,107,11.07,6.4,3,"1.73",2,"False."
"1660","MA",132,408,"341-9274","no","yes","36",201.9,93,"",156.3," 75",13.29,131.3,92,5.91,13.7,5,"3.70",0,"False."
"1661","SD",128,415,"353-7461","no","no"," 0",247.3,91,"42.04",182.7," 60",15.53,143.2,112,6.44,14.7,2,"3.97",3,"False."
"1662","AL",92,408,"371-7366","no","yes","",242.2,96,"41.17",159.7,"144",13.57,210,108,9.45,8.9,1,"2.40",1,"False."
"1663","AL",197,415,"395-7923","yes","no"," 0",127.3,80,"21.64",222.3,"115",18.9,173.9,95,7.83,13.7,5,"3.70",5,"True."
"1664","WV",191,408,"351-8398","no","no"," 0",162,104,"",241.2,"120",20.5,210.4,83,9.47,10.9,7,"2.94",1,"False."
"1665","SC",99,415,"329-2204","no","yes","33",179.1,93,"30.45",238.3,"102",20.26,165.7,96,7.46,10.6,1,"2.86",2,"False."
"1667","KY",88,415,"405-8075","no","no"," 0",148.2,82,"25.19",308.7," 67",26.24,235.4,79,10.59,6.4,4,"1.73",2,"False."
"1668","UT",78,415,"390-9698","no","no"," 0",193.1,85,"32.83",172.1,"105",14.63,129.6,119,5.83,10.2,1,"2.75",0,"False."
"1669","NY",98,408,"403-4917","","no"," 0",171.7,99,"29.19",174.8," 87",14.86,189.6,130,8.53,7.8,6,"2.11",1,"False."
"1670","MS",17,408,"391-6709","no","yes","35",198.5,123,"33.75",270.6,"",23,209.9,130,9.45,8.1,10,"2.19",1,"False."
"1671","NH",56,415,"389-5988","no","yes","24",121.7,87,"20.69",184," 76",15.64,266.6,98,12,12.7,3,"3.43",1,"False."
"1672","VA",84,415,"372-1534","no","no","",130.2,105,"22.13",278," 60",23.63,305.4,74,13.74,14,6,"3.78",2,"False."
"1673","VT",95,510,"395-6369","no","no"," 0",203.4,96,"34.58",168.6," 61",14.33,173,105,7.79,13.7,3,"3.70",2,"False."
"1674","WY",16,415,"400-3197","no","no"," 0",174.7,83,"29.70",280.8,"122",23.87,171.7,80,7.73,10.5,8,"2.84",5,"False."
"1675","NV",76,510,"377-4169","yes","no"," 0",241,120,"40.97",231.8," 96",19.7,220.2,67,9.91,9.9,1,"",1,"True."
"1676","WV",93,415,"384-5343","no","no","",141.7,95,"24.09",221,"100",18.79,227.1,71,10.22,10.2,3,"2.75",0,"False."
"1677","WA",83,408,"338-4472","no","no"," 0",134.8,96,"22.92",167.2,"",14.21,161.5,123,7.27,7.7,5,"2.08",2,"False."
"1678","KS",123,415,"332-2126","no","no"," 0",163.1,119,"27.73",249.4," 51",21.2,168.2,77,7.57,9,10,"2.43",1,"False."
"1679","VT",64,408,"349-2157","no","no"," 0",145.5,116,"24.74",228.4,"",19.41,273.4,91,12.3,8.9,8,"2.40",1,"False."
"1680","OK",82,510,"393-4823","","no"," 0",329.8,73,"56.07",208.3,"120",17.71,267.1,102,12.02,10.6,6,"2.86",0,"True."
"1682","CO",110,510,"345-8350","no","no"," 0",131.9,93,"",272.7,"106",23.18,192.8,105,8.68,7.1,4,"1.92",1,"False."
"1683","AK",96,408,"334-4506","no","yes","29",150,91,"25.50",159.4,"",13.55,228.1,55,10.26,8.5,3,"2.30",1,"False."
"1684","TN",47,415,"332-3544","no","yes","30",196.6,93,"33.42",241.4,"140",20.52,226,118,10.17,12.9,4,"3.48",2,"False."
"1685","KY",115,510,"380-5102","no","no"," 0",99.7,107,"16.95",145.1," 96",12.33,149.4,99,6.72,14.1,4,"3.81",2,"False."
"1686","PA",69,415,"","no","no"," 0",143.6,88,"24.41",141.8," 86",12.05,194,83,8.73,10.8,5,"2.92",3,"False."
"1687","CT",163,408,"398-8122","no","yes","40",231.9,56,"39.42",211.8," 91",18,268.5,74,12.08,12.3,3,"3.32",2,"False."
"1688","CT",90,415,"334-4438","no","no","",37.8,80," 6.43",155.3,"105",13.2,175,111,7.88,14.2,5,"3.83",3,"False."
"1690","WY",90,408,"368-3931","no","yes","39",94.8,89,"16.12",219.1," 91",18.62,197.4,65,8.88,11.4,5,"3.08",1,"False."
"1692","OR",95,415,"348-5725","no","no","",269,120,"",233.7,"",19.86,179.3,61,8.07,7.3,4,"1.97",2,"True."
"1694","OK",123,415,"393-3635","no","yes","27",198.7,127,"33.78",249,"105",21.17,173.2,124,7.79,12.5,5,"3.38",1,"False."
"1695","VT",99,415,"380-8727","no","no"," 0",115.5,75,"19.64",218.1,"111",18.54,254.9,98,11.47,11.5,7,"3.11",7,"True."
"1696","ID",114,415,"381-2376","no","no"," 0",202.1,100,"34.36",195.7,"102",16.63,291.8,120,13.13,13.3,5,"3.59",2,"False."
"1697","PA",141,510,"365-8114","","no"," 0",215.6,113,"36.65",200.6," 81",17.05,153.8,107,6.92,12.4,6,"3.35",1,"False."
"1698","NM",132,408,"415-5008","no","no"," 0",169.9,107,"28.88",209.4,"121",17.8,206.1,79,9.27,11.5,2,"3.11",1,"False."
"1699","FL",133,510,"392-8318","","no"," 0",201.7,85,"34.29",169.4,"116",14.4,286.3,80,12.88,6,4,"1.62",0,"False."
"1700","TX",133,408,"401-4007","no","no"," 0",221.1,133,"",160.2,"140",13.62,161.8,84,7.28,8.4,3,"",4,"False."
"1703","OR",140,415,"333-5101","","no"," 0",120.3,108,"20.45",240.4,"",20.43,216.4,74,9.74,7.7,3,"2.08",4,"True."
"1704","DE",96,415,"345-3734","no","yes","26",175.8,96,"",206.6," 84",17.56,178,105,8.01,11.1,2,"3.00",2,"False."
"1705","FL",144,510,"384-5004","no","no"," 0",278.5,95,"",240.7," 90",20.46,120,90,5.4,11.6,5,"3.13",1,"True."
"1706","ID",24,408,"341-9396","no","yes","29",236.3,105,"",190.8,"114",16.22,129,105,5.81,7.2,2,"1.94",3,"False."
"1707","MD",54,415,"408-6302","no","no"," 0",273.8,113,"46.55",119.6,"156",10.17,267.6,117,12.04,11.7,3,"3.16",1,"False."
"1708","WV",50,408,"348-7193","no","no"," 0",131.1,129,"22.29",160.5," 94",13.64,206.9,88,9.31,5.6,9,"1.51",5,"True."
"1709","ID",92,415,"417-4063","no","yes","23",167.4,83,"28.46",258.6,"129",21.98,116.4,110,5.24,11.2,3,"3.02",4,"False."
"1710","NV",96,408,"375-6911","no","no"," 0",197.7,68,"33.61",250.5," 53",21.29,181.2,67,8.15,10.5,3,"2.84",3,"False."
"1711","OH",146,415,"358-3604","","no"," 0",169.5,93,"28.82",230.9," 71",19.63,269.8,115,12.14,9,7,"2.43",2,"False."
"1712","ID",138,415,"339-7485","yes","yes","",225.2,116,"38.28",173.4,"",14.74,145.8,99,6.56,11.7,4,"",0,"False."
"1713","SC",102,408,"368-3078","no","no"," 0",174.5,73,"29.67",213.7,"114",18.16,164.7,116,7.41,10.3,5,"2.78",4,"False."
"1714","MO",76,510,"418-7055","no","no"," 0",129.7,84,"",177.5," 80",15.09,228.9,87,10.3,7.5,3,"2.03",5,"True."
"1715","NE",99,415,"386-9981","no","no"," 0",200,66,"34.00",107.9,"104",9.17,233.7,82,10.52,11.4,2,"3.08",3,"False."
"1716","NC",83,510,"366-2541","no","yes","36",95.9,87,"16.30",261.6,"",22.24,228.6,109,10.29,13.3,4,"3.59",0,"False."
"1717","ME",36,510,"335-3110","no","yes","25",152.8,110,"25.98",242.8," 67",20.64,147.4,74,6.63,9.1,2,"2.46",1,"False."
"1718","MI",70,510,"400-7809","no","no","",129.9,102,"22.08",208.7,"133",17.74,231.4,93,10.41,14.3,3,"3.86",1,"False."
"1719","AZ",109,415,"404-3106","yes","no"," 0",268.4,85,"",150.6,"131",12.8,297.9,84,13.41,9.7,8,"2.62",2,"True."
"1720","AZ",100,415,"333-2337","no","no"," 0",188.5,152,"32.05",148.3,"115",12.61,179.8,88,8.09,15.2,5,"",2,"False."
"1721","HI",104,408,"353-6482","no","no"," 0",170.6,97,"",162.1,"111",13.78,210.7,131,9.48,6.1,1,"",1,"False."
"1723","MS",84,510,"380-6722","","no"," 0",75.3,96,"12.80",179.9,"113",15.29,193.8,134,8.72,12.3,1,"3.32",1,"False."
"1724","MA",80,510,"329-2918","no","no"," 0",149.8,123,"",276.3," 75",23.49,241.4,75,10.86,10.9,7,"2.94",2,"False."
"1725","SC",100,510,"348-8022","no","no"," 0",115.9,87,"19.70",111.3," 56",9.46,170.2,77,7.66,7.1,4,"1.92",1,"False."
"1726","MN",99,408,"388-4459","no","no"," 0",128.8,86,"21.90",203.9,"105",17.33,282.6,131,12.72,14.1,4,"3.81",2,"False."
"1727","WV",50,510,"358-3114","no","no"," 0",131.7,108,"22.39",216.5,"103",18.4,196.1,126,8.82,11,5,"2.97",1,"False."
"1728","MS",105,415,"343-9654","no","no"," 0",101.4,48,"17.24",159.1,"",13.52,259.2,53,11.66,12.2,2,"",1,"False."
"1729","VA",113,415,"401-9909","no","yes","23",149,104,"25.33",235.8," 67",20.04,201.8,76,9.08,9.5,5,"2.57",4,"False."
"1730","MS",111,415,"404-9978","no","yes","36",96.8,123,"16.46",170.6,"105",14.5,166,85,7.47,13.4,4,"3.62",2,"False."
"1731","NM",161,408,"397-8011","no","no"," 0",107.5,121,"18.28",256.4," 46",21.79,247.2,131,11.12,12.6,3,"3.40",2,"False."
"1733","HI",97,415,"408-1242","no","yes","43",121.1,105,"20.59",260.2,"115",22.12,222.4,100,10.01,8.3,5,"2.24",3,"False."
"1734","WA",130,510,"406-7726","","no"," 0",124.3,70,"21.13",270.7," 99",23.01,239.5,83,10.78,3.5,6,"0.95",0,"False."
"1735","WI",92,415,"351-2773","no","no","",157.7,101,"26.81",298.6,"100",25.38,216.9,99,9.76,13.8,3,"3.73",1,"False."
"1736","CO",119,408,"368-6174","no","no"," 0",124.3,68,"21.13",207.1," 88",17.6,157.4,93,7.08,14.8,1,"4.00",0,"False."
"1738","RI",134,415,"","no","no"," 0",141.7,95,"24.09",205.6,"101",17.48,218.5,60,9.83,8.8,6,"",0,"False."
"1739","VA",127,408,"414-1246","no","yes","25",173,91,"29.41",245.8," 64",20.89,300,99,13.5,4.8,3,"1.30",0,"False."
"1740","NJ",80,415,"330-4978","no","no"," 0",268.7,120,"45.68",301,"147",25.59,167,140,7.52,5.8,1,"1.57",2,"True."
"1741","ND",153,415,"386-1631","no","yes","31",218.5,130,"",134.2,"103",11.41,118.9,105,5.35,9.4,6,"2.54",0,"False."
"1742","MN",85,415,"363-1208","no","no","",255.3,114,"43.40",194.6," 83",16.54,276.6,78,12.45,3.7,5,"1.00",3,"False."
"1743","HI",79,415,"334-5263","no","no"," 0",41.9,124," 7.12",211,"",17.94,237.9,55,10.71,11.4,5,"3.08",1,"False."
"1744","ND",35,415,"361-4137","no","no"," 0",260.8,87,"44.34",258.1," 78",21.94,131.3,123,5.91,5.8,2,"1.57",1,"False."
"1745","WI",120,408,"374-8187","no","yes","26",239.4,94,"40.70",259.4," 88",22.05,238,132,10.71,7.7,3,"2.08",0,"False."
"1746","MN",68,510,"","no","no","",226.7,94,"38.54",168.4,"129",14.31,188.7,117,8.49,10.2,1,"2.75",0,"False."
"1747","DC",60,408,"355-3801","no","no"," 0",179.3,147,"30.48",208.9," 89",17.76,248.2,98,11.17,13.5,6,"3.65",1,"True."
"1750","WV",124,415,"","no","no"," 0",157.4,107,"26.76",167.8,"112",14.26,188.8,102,8.5,8.8,3,"2.38",3,"False."
"1751","ME",23,510,"376-9607","no","no"," 0",113.1,74,"19.23",168.8,"",14.35,262.9,126,11.83,6.9,2,"1.86",1,"True."
"1752","WY",225,415,"374-1213","no","no"," 0",182.7,142,"31.06",246.5," 63",20.95,218,103,9.81,8.8,2,"2.38",1,"False."
"1753","NY",181,415,"421-8537","yes","no"," 0",161.3,83,"27.42",124.4," 83",10.57,262,98,11.79,14.1,3,"3.81",0,"True."
"1754","VT",63,415,"351-5576","no","no"," 0",142.5,92,"24.23",208.3,"102",17.71,228.9,120,10.3,7.5,2,"2.03",2,"False."
"1755","NC",54,415,"407-7258","yes","no","",190.5,108,"32.39",259.7,"108",22.07,141.5,111,6.37,9.7,2,"2.62",2,"True."
"1756","MO",80,408,"405-4420","yes","yes","15",159.3,110,"27.08",170.6,"120",14.5,141.2,82,6.35,11.9,5,"3.21",1,"False."
"1757","NC",118,408,"340-2855","","yes","39",153.8,106,"26.15",123.3,"111",10.48,117.8,103,5.3,9.2,6,"2.48",1,"False."
"1758","NJ",42,408,"342-8002","yes","no"," 0",180.7,127,"30.72",174.6," 94",14.84,165.3,114,7.44,12,6,"3.24",2,"False."
"1759","OH",134,408,"355-6826","no","no"," 0",202.7,105,"",224.9,"",19.12,253.9,108,11.43,12.1,7,"3.27",0,"False."
"1760","TX",66,415,"402-3886","no","yes","",190.8,100,"32.44",261.3," 93",22.21,209.5,108,9.43,8.9,6,"",0,"False."
"1761","WA",66,415,"","no","no"," 0",205.1,102,"34.87",232.7,"109",19.78,259.9,95,11.7,9.2,6,"2.48",2,"False."
"1762","TN",127,415,"","no","yes","28",235.6,124,"40.05",236.8,"113",20.13,241.2,127,10.85,7.7,2,"2.08",1,"False."
